date,symbol,open,high,low,close,volume,quote_volume
2010-09-09,VOO,77.202,77.202,76.178,76.313,26500,2022294.5
2010-09-10,VOO,76.584,76.72,76.298,76.66,8600,659276.0
2010-09-13,VOO,77.548,77.684,77.202,77.624,33750,2619810.0
2010-09-14,VOO,77.458,77.94,77.112,77.609,59400,4609974.6
2010-09-15,VOO,77.292,77.865,77.127,77.804,9250,719687.0
2010-09-16,VOO,77.594,77.819,77.353,77.774,59550,4631441.7
2010-09-17,VOO,78.241,78.241,77.594,77.85,49350,3841897.5
2010-09-20,VOO,78.136,79.115,77.925,79.115,19000,1503185.0
2010-09-21,VOO,79.1,79.416,78.543,78.874,19250,1518324.5
2010-09-22,VOO,78.753,79.115,78.302,78.452,18100,1419981.2
2010-09-23,VOO,77.82,78.588,77.669,77.804,33350,2594763.4
2010-09-24,VOO,78.712,79.439,78.651,79.393,24100,1913371.3
2010-09-27,VOO,79.499,79.499,79.015,79.015,15000,1185225.0
2010-09-28,VOO,78.999,79.53,78.318,79.53,49850,3964570.5
2010-09-29,VOO,79.196,79.454,78.924,79.151,15900,1258500.9
2010-09-30,VOO,79.666,80.029,78.727,79.03,44750,3536592.5
2010-10-01,VOO,79.575,79.636,78.878,79.302,17100,1356064.2
2010-10-04,VOO,79.711,79.711,78.378,78.636,88700,6975013.2
2010-10-05,VOO,79.53,80.423,79.378,80.363,19850,1595205.55
2010-10-06,VOO,80.363,80.484,79.984,80.226,276900,22214579.4
2010-10-07,VOO,80.65,80.65,79.757,80.181,49900,4001031.9
2010-10-08,VOO,80.287,80.832,80.014,80.787,61550,4972439.85
2010-10-11,VOO,80.817,80.908,80.484,80.65,14200,1145230.0
2010-10-12,VOO,80.559,81.211,80.075,81.12,42050,3411096.0
2010-10-13,VOO,81.468,81.998,81.211,81.604,74450,6075417.8
2010-10-14,VOO,81.559,81.65,80.877,81.302,19100,1552868.2
2010-10-15,VOO,81.816,81.847,80.817,81.453,54950,4475842.35
2010-10-18,VOO,81.498,82.119,81.362,82.044,22850,1874705.4
2010-10-19,VOO,81.135,81.544,80.287,80.741,38550,3112565.55
2010-10-20,VOO,80.983,81.907,80.983,81.604,22800,1860571.2
2010-10-21,VOO,81.983,82.362,81.256,81.726,29400,2402744.4
2010-10-22,VOO,81.907,81.938,81.741,81.923,24850,2035786.55
2010-10-25,VOO,82.559,82.756,82.135,82.165,29600,2432084.0
2010-10-26,VOO,81.726,82.21,81.695,82.15,15000,1232250.0
2010-10-27,VOO,81.589,81.953,81.196,81.892,17150,1404447.8
2010-10-28,VOO,82.362,82.407,81.604,81.953,19250,1577595.25
2010-10-29,VOO,81.862,82.104,81.786,82.013,13400,1098974.2
2010-11-01,VOO,82.483,82.862,81.604,82.059,51550,4230141.45
2010-11-02,VOO,82.71,82.862,82.437,82.695,26100,2158339.5
2010-11-03,VOO,82.862,83.043,82.029,83.043,31850,2644919.55
2010-11-04,VOO,83.982,84.664,83.861,84.603,49000,4145547.0
2010-11-05,VOO,84.74,85.043,84.573,84.937,48300,4102457.1
2010-11-08,VOO,84.724,84.876,84.437,84.83,43400,3681622.0
2010-11-09,VOO,84.952,85.043,83.907,84.164,35700,3004654.8
2010-11-10,VOO,84.179,84.512,83.543,84.482,28200,2382392.4
2010-11-11,VOO,83.816,84.27,83.619,84.209,24000,2021016.0
2010-11-12,VOO,83.604,83.952,82.831,83.164,39450,3280819.8
2010-11-15,VOO,83.528,83.695,83.028,83.089,202750,16846294.75
2010-11-16,VOO,82.559,82.559,81.392,81.756,32850,2685684.6
2010-11-17,VOO,81.832,82.135,81.62,81.817,42450,3473131.65
2010-11-18,VOO,82.604,83.24,82.604,83.028,26100,2167030.8
2010-11-19,VOO,82.922,83.255,82.574,83.225,20250,1685306.25
2010-11-22,VOO,82.862,83.149,82.225,83.149,25350,2107827.15
2010-11-23,VOO,82.21,82.271,81.726,81.983,142400,11674379.2
2010-11-24,VOO,82.498,83.134,82.498,83.043,30100,2499594.3
2010-11-26,VOO,82.513,82.846,82.407,82.574,32650,2696041.1
2010-11-29,VOO,82.059,82.665,81.529,82.498,46000,3794908.0
2010-11-30,VOO,81.756,82.437,81.65,81.923,91950,7532819.85
2010-12-01,VOO,83.24,83.861,83.21,83.77,33350,2793729.5
2010-12-02,VOO,83.861,84.891,83.861,84.861,60650,5146819.65
2010-12-03,VOO,84.558,85.164,84.543,85.073,184100,15661939.3
2010-12-06,VOO,84.937,85.133,84.815,84.967,64150,5450633.05
2010-12-07,VOO,85.83,85.86,84.967,84.997,109000,9264673.0
2010-12-08,VOO,85.118,85.376,84.785,85.345,69050,5893072.25
2010-12-09,VOO,85.83,85.83,85.315,85.664,54850,4698670.4
2010-12-10,VOO,85.936,86.239,85.739,86.178,73950,6372863.1
2010-12-13,VOO,86.572,86.663,86.194,86.224,77050,6643559.2
2010-12-14,VOO,86.421,86.603,86.072,86.269,59650,5145945.85
2010-12-15,VOO,86.133,86.481,85.754,85.891,43600,3744847.6
2010-12-16,VOO,85.997,86.451,85.663,86.39,60600,5235234.0
2010-12-17,VOO,86.33,86.587,86.194,86.512,59150,5117184.8
2010-12-20,VOO,86.769,86.89,86.3,86.693,72600,6293911.8
2010-12-21,VOO,86.981,87.314,86.921,87.223,76200,6646392.6
2010-12-22,VOO,87.345,87.542,87.269,87.542,108250,9476421.5
